이,0.05662126342450476,1347
들,0.05344552684797403,1048
가,0.04082998445182734,695
에,0.040791457359868506,659
을,0.03973145014077831,595
도,0.03723830513123097,557
은,0.03713337609224773,570
는,0.03132293274943485,426
의,0.027537951175957136,322
를,0.026511449687459433,311
사람,0.024882518889678993,280
다,0.024730560269335816,298
으로,0.02430787722495192,281
로,0.023930232076163953,278
하고,0.022001218801807092,242
에서,0.021653228734867195,247
한,0.021297343509142586,233
못,0.020569310453771823,223
안,0.020109970085980124,214
적,0.0194899081617748,192
고,0.01890398964404924,195
그,0.018562680871176955,188
만,0.01829880668741803,188
진짜,0.017472486955427934,174
아,0.01623999079618346,155
하는,0.01582749206730636,150
나,0.015591564439455162,146
지,0.015362291195025926,149
저,0.015219874080808594,139
것,0.015208360083581176,136
게,0.01470150904073761,138
좀,0.01412491911096625,129
잘,0.013977586098346281,126
이다,0.013414968872233696,118
왜,0.01335244311739457,121
말,0.013187596518467024,116
여자,0.013069675846777703,111
개,0.013029995663400639,111
ㅋㅋ,0.013029995663400639,111
네,0.012846537987817016,113
더,0.012763404275837574,111
너무,0.012643356993936984,109
때,0.012606349854168234,109
나라,0.012519249775407505,106
면,0.01242669571612971,109
인,0.01241844740351764,108
그냥,0.012303461779410994,107
니,0.01215444982276806,100
생각,0.01212173492699881,102
돈,0.011825967630672358,95
하,0.011715404187042526,101
까지,0.011674829025969002,97
과,0.011629892442284883,96
일,0.011538993089947883,98
인데,0.011338188475840758,96
내,0.011313751839598827,94
할,0.01128985115749889,95
애,0.01119780739596543,86
담배,0.011125608904423923,80
미세먼지,0.010980580815881297,85
뭐,0.010804028438320618,88
놈,0.010727101313166279,84
라,0.010717765015618776,87
이나,0.010557622597631938,88
남자,0.010369762730246233,79
같은,0.010368813497874971,83
거,0.010224994210302969,83
한테,0.010216286964920265,80
와,0.010171933860616829,82
에게,0.010076297689867543,78
이런,0.010013028110058077,81
요,0.009850306053376324,78
국민,0.00968874777871879,75
하면,0.009651212133852134,75
ㅋㅋㅋ,0.00955956447500254,74
해,0.009252891155548715,73
인간,0.009208082669663217,71
또,0.009151157178789199,70
보다,0.009032933063597436,71
냐,0.008973276175931718,70
한국,0.008925952369778238,66
해서,0.008925871717173973,68
야,0.008913647956421288,69
법,0.008911610654087588,65
수,0.008847713586895178,66
얼굴,0.008847713586895178,66
기사,0.00856721672959045,65
ㅋ,0.008557760616840073,60
음주운전,0.008459922063523227,59
중국,0.008455436391072463,57
서,0.008409163865042965,63
살,0.00840082043969315,64
양심,0.008371324976052176,59
정말,0.008303610060987666,63
지금,0.008142206282025726,61
많이,0.008126965517026019,59
자,0.008027266676445426,58
부터,0.007943983313368284,59
있는,0.007943983313368284,59
없는,0.007943983313368284,59
문제,0.007926996344402045,57
중,0.007915274777250353,58
이네,0.007775263455150307,58
정도,0.007743472460299772,57
무슨,0.007674695743423597,57
참,0.007540593630381806,55
기,0.007520003792046872,53
우리,0.007505864012909818,55
대,0.007505864012909818,55
드라마,0.00745620249666454,52
이고,0.007406887180162319,53
한다,0.007403491928011228,54
가족,0.00737317496986016,50
일본,0.007349127873300769,48
정부,0.007236230064045102,51
하지,0.00712738200355242,51
댓글,0.0070943432000442185,50
라고,0.007058458629288221,51
보면,0.007022456899118529,50
쳐,0.006997155563997042,48
새끼,0.006958081138316277,48
살인,0.006936585404718939,45
저런,0.006916857293848792,49
전,0.006916857293848792,49
ㅠㅠ,0.006851381489747103,47
먹고,0.006846208493472059,48
세금,0.00669232757329856,44
입니다,0.006668161090886432,46
하나,0.006634536587977412,47
누가,0.0066315959385561925,46
방송,0.006566642795055829,44
해야,0.00652320106717151,45
아이,0.006519192111122602,42
오늘,0.006452482929805851,45
처럼,0.006340930474079737,43
때문,0.006304153753096312,43
해라,0.006275691119016054,44
다른,0.006233281019741665,43
쓰레기,0.006230321551316552,42
유치원,0.006226857211845272,38
이제,0.006165705910703369,43
너,0.006122511118497412,42
이라고,0.006122511118497412,42
교사,0.006120855082923665,36
상,0.006088320996026742,42
술,0.006081980561999491,41
보고,0.006054935422160002,42
소리,0.006054935422160002,42
난,0.006054935422160002,42
제발,0.006010937299463925,41
그리고,0.005976737044247474,41
합니다,0.005976737044247474,41
걸,0.00594336097231182,41
분,0.00593363957268243,40
남,0.005898539975888128,40
랑,0.005856530905870923,39
세상,0.005856530905870923,39
개월,0.005849482924531473,36
욕,0.0057797374496669374,38
이렇게,0.005751076476490924,39
수준,0.005671191504820942,38
자기,0.0056369575940483085,38
사립,0.0056202812425962916,34
ㅋㅋㅋㅋ,0.005603612977093721,38
처벌,0.005587878952390802,36
인가,0.005556195987621132,37
된,0.005521949623115128,37
없이,0.005488616604731248,37
결혼,0.005488616604731248,37
노래,0.005475540741789731,36
문,0.005471429178555137,35
눈,0.005471429178555137,35
아니고,0.005440288051754826,36
문재인,0.005436116529092292,34
이해,0.005432660092602168,35
이냐,0.0054060285284962374,36
넘,0.0054060285284962374,36
"""",0.0053922622033788,30
하게,0.005372707741409314,36
제,0.005358739074281811,35
님,0.005323442387851127,35
좋은,0.005323442387851127,35
조,0.005318303223483365,33
경찰,0.005318303223483365,33
거지,0.005315102630596418,34
없다,0.005289168939206081,35
ㅠ,0.005289168939206081,35
임,0.005255861069371342,35
건,0.005240975639120977,34
회사,0.005240975639120977,34
열심히,0.005240975639120977,34
라는,0.005240975639120977,34
다시,0.0052356885259681,33
공립,0.005170925086192972,31
앞,0.005138049826657336,34
새,0.005122222373024901,33
차,0.005122222373024901,33
피해자,0.0051163449685574505,32
